"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Prime","Amazon.Type"
"Best Director","Winner","All Quiet on the Western Front","03-1930","tt0020629","All Quiet on the Western Front","nm0587277","Lewis Milestone",NA,NA,"All Quiet on the Western Front",1930,"Passed","24 Aug 1930","152 min","Drama, War","Lewis Milestone","Erich Maria Remarque, Maxwell Anderson, George Abbott","Lew Ayres, Louis Wolheim, John Wray","A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.","English, French, German, Latin","United States","Won 2 Oscars. 7 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMzg2MWQ4MDEtOGZlNi00MTg0LWIwMjQtYWY5NTQwYmUzMWNmXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_SX300.jpg","91","8.1","60,073","tt0020629","movie",NA,NA,NA,NA,"8.1/10","91/100","98%",NA,NA,NA,NA
"Best Director",NA,"Romance","03-1930","tt0021310","Romance","nm0113284","Clarence Brown",NA,NA,"Romance",1930,"Approved","26 Aug 1930","76 min","Drama, Romance","Clarence Brown","Edward Sheldon, Bess Meredyth, Edwin Justus Mayer","Greta Garbo, Lewis Stone, Gavin Gordon","Young Harry is in love and wants to marry an actress, much to the displeasure of his family. Harry thinks that Bishop Armstrong knows nothing about love so Armstrong tells him the story of Rita and himself. Rita was an Opera Star sin","English","United States","Nominated for 2 Oscars. 1 win & 2 nominations total","https://m.media-amazon.com/images/M/MV5BYTc4YjNhZmItNTNmMy00NTg1LTgyNzYtMjVmOTljMTM4YTgxXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","N/A","5.8","860","tt0021310","movie",NA,NA,NA,NA,"5.8/10",NA,NA,NA,NA,NA,NA
"Best Director",NA,"Anna Christie","03-1930","tt0020641","Anna Christie","nm0113284","Clarence Brown",NA,NA,"Anna Christie",1930,"Passed","21 Feb 1930","89 min","Drama, Romance","Clarence Brown","Frances Marion, Eugene O'Neill","Greta Garbo, Charles Bickford, George F. Marion","A young woman reunites with her estranged father and falls in love with a sailor, but struggles to tell them about her dark past.","English","United States","Nominated for 3 Oscars. 1 win & 3 nominations total","https://m.media-amazon.com/images/M/MV5BMTUyNDA5MTY0M15BMl5BanBnXkFtZTgwMzA1NDIwMjE@._V1_SX300.jpg","N/A","6.6","3,113","tt0020641","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA
"Best Director",NA,"The Love Parade","03-1930","tt0020112","The Love Parade","nm0523932","Ernst Lubitsch",NA,NA,"The Love Parade",1929,"Passed","18 Jan 1930","107 min","Comedy, Musical, Romance","Ernst Lubitsch","Ernest Vajda, Guy Bolton, Leon Xanrof","Maurice Chevalier, Jeanette MacDonald, Lupino Lane","The queen of mythical Sylvania marries a courtier, who finds his new life unsatisfying.","English, French","United States","Nominated for 6 Oscars. 1 win & 6 nominations total","https://m.media-amazon.com/images/M/MV5BNDYyZDJlYTYtMjkwYS00MTM3LTkyNmUtOTZlZGUzMTUyMWE0XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg","N/A","7.0","2,293","tt0020112","movie",NA,NA,NA,NA,"7.0/10",NA,"100%",NA,NA,NA,NA
"Best Director",NA,"Hallelujah","03-1930","tt0019959","Hallelujah","nm0896542","King Vidor",NA,NA,"Hallelujah",1929,"Passed","20 Aug 1929","109 min","Drama, Musical","King Vidor","Wanda Tuchock, Richard Schayer, Ransom Rideout","Daniel L. Haynes, Nina Mae McKinney, William Fountaine","A sharecropper decides to become a preacher after falling for a vamp from the city.","English","United States","Nominated for 1 Oscar. 2 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BZjg3MzgxMDUtNzc4Yi00NGJiLThhYWMtNTdkMmUyNjQ3NzgwXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg","N/A","6.8","1,809","tt0019959","movie",NA,NA,NA,NA,"6.8/10",NA,"86%",NA,NA,NA,NA
"Best Director",NA,"The Divorcee","03-1930","tt0020827","The Divorcee","nm0502752","Robert Z. Leonard",NA,NA,"The Divorcee",1930,"Passed","19 Apr 1930","84 min","Romance, Drama","Robert Z. Leonard","Ursula Parrott, Nick Grinde, Zelda Sears","Norma Shearer, Robert Montgomery, Chester Morris","When a woman discovers that her husband has been unfaithful to her, she decides to respond to his infidelities in kind.","English, French","United States","Won 1 Oscar. 4 nominations total","https://m.media-amazon.com/images/M/MV5BMTk5NzQzNjEwNV5BMl5BanBnXkFtZTgwNjA2NTAwMjE@._V1_SX300.jpg","N/A","6.7","3,034","tt0020827","movie",NA,NA,NA,NA,"6.7/10",NA,"75%",NA,NA,NA,NA
"Best Director","Winner","Skippy","04-1931","tt0022397","Skippy","nm0851537","Norman Taurog",NA,NA,"Skippy",1931,"Passed","25 Apr 1931","85 min","Comedy, Drama, Family","Norman Taurog","Percy Crosby, Sam Mintz, Joseph L. Mankiewicz","Jackie Cooper, Robert Coogan, Mitzi Green","Skippy, the mischievous son of a wealthy doctor, meets Sooky in poverty-ridden Shantytown, and together they try to save Sooky's pet from a cruel dogcatcher.","English","United States","Won 1 Oscar. 1 win & 3 nominations total","https://m.media-amazon.com/images/M/MV5BMTg0Mzc1OTg4NF5BMl5BanBnXkFtZTcwMDM1MjQxMw@@._V1_SX300.jpg","N/A","6.3","787","tt0022397","movie",NA,NA,NA,NA,"6.3/10",NA,"86%",NA,NA,NA,NA
"Best Director",NA,"A Free Soul","04-1931","tt0021885","A Free Soul","nm0113284","Clarence Brown",NA,NA,"A Free Soul",1931,"Passed","20 Jun 1931","93 min","Crime, Drama, Romance","Clarence Brown","Adela Rogers St. Johns, Becky Gardiner, Philip Dunning","Norma Shearer, Leslie Howard, Lionel Barrymore","An alcoholic lawyer who successfully defended a notorious gambler on a murder charge objects when his free-spirited daughter becomes romantically involved with him.","English","United States","Won 1 Oscar. 1 win & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMWY4YjFkNzItMTEyZS00OTIwLWJiYmQtY2JlMTcxZGM4N2Q1XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg","N/A","6.6","2,530","tt0021885","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA
"Best Director",NA,"Morocco","04-1931","tt0021156","Morocco","nm0903049","Josef von Sternberg",NA,NA,"Morocco",1930,"Passed","06 Dec 1930","92 min","Drama, Romance","Josef von Sternberg","Jules Furthman, Benno Vigny","Gary Cooper, Marlene Dietrich, Adolphe Menjou","A cabaret singer and a Legionnaire fall in love, but their relationship is complicated by the results of his womanizing and due to the appearance of a rich man who wants her for himself.","English, French, Spanish, Arabic, Italian","United States","Nominated for 4 Oscars. 3 wins & 4 nominations total","https://m.media-amazon.com/images/M/MV5BOWNiYzgxZjMtZTI5NC00MmZkLThkNTgtZGJmZTA0OTZmOGJiXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","N/A","7.1","6,452","tt0021156","movie",NA,NA,NA,NA,"7.1/10",NA,"83%",NA,NA,NA,NA
"Best Director",NA,"The Front Page","04-1931","tt0021890","The Front Page","nm0587277","Lewis Milestone",NA,NA,"The Front Page",1931,"Approved","04 Apr 1931","101 min","Comedy, Crime, Drama","Lewis Milestone","Ben Hecht, Charles MacArthur, Bartlett Cormack","Adolphe Menjou, Pat O'Brien, Mary Brian","A crusading newspaper editor tricks his retiring star reporter into covering one last case.","English","United States","Nominated for 3 Oscars. 2 wins & 3 nominations total","https://m.media-amazon.com/images/M/MV5BNTQzODg2MDQtMmM5Ni00YjBjLWFlMTAtOGRhZTQwNzJhZTViXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg","76","6.7","2,815","tt0021890","movie",NA,NA,NA,NA,"6.7/10","76/100","87%",NA,NA,NA,NA
"Best Director",NA,"Cimarron","04-1931","tt0021746","Cimarron","nm0749484","Wesley Ruggles",NA,NA,"Cimarron",1931,"Passed","09 Feb 1931","123 min","Drama, Western","Wesley Ruggles","Edna Ferber, Howard Estabrook, Louis Sarecky","Richard Dix, Irene Dunne, Estelle Taylor","A newspaper editor settles in an Oklahoma boom town with his reluctant wife at the end of the nineteenth century.","English, French","United States","Won 3 Oscars. 5 wins & 4 nominations total","https://m.media-amazon.com/images/M/MV5BYWQwZGM0MTktNDM1NC00MTZlLTllNzctYTllZWI2MzdiNmMyXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg","70","5.9","5,977","tt0021746","movie",NA,NA,NA,NA,"5.9/10","70/100","52%",NA,NA,NA,NA
"Best Director","Winner","Bad Girl","05-1932","tt0021635","Bad Girl","nm0097648","Frank Borzage",NA,NA,"Bad Girl",1931,"Passed","13 Sep 1931","90 min","Drama, Romance","Frank Borzage","Viña Delmar, Brian Marlow, Edwin J. Burke","James Dunn, Sally Eilers, Minna Gombell","A man and woman, skeptical about romance, nonetheless fall in love and are wed, but their lack of confidence in the opposite sex haunts their marriage.","English","United States","Won 2 Oscars. 3 nominations total","https://m.media-amazon.com/images/M/MV5BMjI2NDAwNDAyM15BMl5BanBnXkFtZTcwNjM1MjQxMw@@._V1_SX300.jpg","N/A","6.5","1,307","tt0021635","movie",NA,NA,NA,NA,"6.5/10",NA,NA,NA,NA,NA,NA
"Best Director",NA,"Shanghai Express","05-1932","tt0023458","Shanghai Express","nm0903049","Josef von Sternberg",NA,NA,"Shanghai Express",1932,"Approved","12 Feb 1932","82 min","Adventure, Drama, Romance","Josef von Sternberg","Jules Furthman, Harry Hervey","Marlene Dietrich, Clive Brook, Anna May Wong","A notorious woman rides a train through a dangerous situation with a British captain she loved.","English, French, Cantonese, German","United States","Won 1 Oscar. 3 nominations total","https://m.media-amazon.com/images/M/MV5BMDc3ODRlZDktY2M2MC00Y2UxLWI1MWMtODkyYjI1NzQyNjIwXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","83","7.3","8,574","tt0023458","movie",NA,NA,NA,NA,"7.3/10","83/100","94%",NA,NA,NA,NA
"Best Director",NA,"The Champ","05-1932","tt0021730","The Champ","nm0896542","King Vidor",NA,NA,"The Champ",1931,"Passed","21 Nov 1931","86 min","Drama, Family, Sport","King Vidor","Frances Marion, Wanda Tuchock, Don Marquis","Wallace Beery, Jackie Cooper, Irene Rich","An alcoholic ex-boxer struggles to provide a good living for his son.","English","United States","Won 2 Oscars. 2 wins & 3 nominations total","https://m.media-amazon.com/images/M/MV5BNzI0ODE3NzI3OV5BMl5BanBnXkFtZTgwMDIzMTkxMTE@._V1_SX300.jpg","N/A","7.3","3,080","tt0021730","movie",NA,NA,NA,NA,"7.3/10",NA,"95%",NA,NA,NA,NA
"Best Director","Winner","Cavalcade","06-1934","tt0023876","Cavalcade","nm0515979","Frank Lloyd",NA,NA,"Cavalcade",1933,"Passed","15 Apr 1933","112 min","Drama, Romance, War","Frank Lloyd","Reginald Berkeley, Noël Coward","Diana Wynyard, Clive Brook, Una O'Connor","A portrayal of the triumphs and tragedies of two English families, the upper-crust Marryots and the working-class Bridgeses, from 1899 to 1933.","English","United States","Won 3 Oscars. 5 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BNWJlMjljMmItZTNiNC00NGI3LWFhYzgtMTk1ZmNhZjZiYzU2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","5.9","5,094","tt0023876","movie",NA,NA,NA,NA,"5.9/10",NA,"64%",NA,NA,NA,NA
"Best Director",NA,"Lady for a Day","06-1934","tt0024240","Lady for a Day","nm0001008","Frank Capra",NA,NA,"Lady for a Day",1933,"Passed","13 Sep 1933","96 min","Comedy, Drama","Frank Capra","Robert Riskin, Damon Runyon","Warren William, May Robson, Guy Kibbee","A gangster tries to make Apple Annie, the Times Square apple seller, a lady for a day.","English, Spanish","United States","Nominated for 4 Oscars. 4 nominations total","https://m.media-amazon.com/images/M/MV5BMTA4MjUxOTMwMTNeQTJeQWpwZ15BbWU4MDYyNjMwNDIx._V1_SX300.jpg","N/A","7.4","4,064","tt0024240","movie",NA,NA,NA,NA,"7.4/10",NA,"100%",NA,NA,NA,NA
"Best Director",NA,"Little Women","06-1934","tt0024264","Little Women","nm0002030","George Cukor",NA,NA,"Little Women",1933,"Passed","24 Nov 1933","115 min","Drama, Family, Romance","George Cukor","Louisa May Alcott, Sarah Y. Mason, Victor Heerman","Katharine Hepburn, Joan Bennett, Paul Lukas","A chronicle of the lives of a group of sisters growing up in nineteenth-century America.","English, German","United States","Won 1 Oscar. 4 wins & 3 nominations total","https://m.media-amazon.com/images/M/MV5BZGVmNzc3ODYtYjJlYy00YmQ4LWE3NWQtZTlhYWRjYjI1MTg1XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","92","7.2","6,916","tt0024264","movie",NA,NA,NA,NA,"7.2/10","92/100","89%",NA,NA,NA,NA
"Best Director","Winner","It Happened One Night","07-1935","tt0025316","It Happened One Night","nm0001008","Frank Capra",NA,NA,"It Happened One Night",1934,"Passed","22 Feb 1934","105 min","Comedy, Romance","Frank Capra","Robert Riskin, Samuel Hopkins Adams","Clark Gable, Claudette Colbert, Walter Connolly","A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.","English","United States","Won 5 Oscars. 11 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BYzJmMWE5NjAtNWMyZS00NmFiLWIwMDgtZDE2NzczYWFhNzIzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","87","8.1","100,625","tt0025316","movie",NA,NA,NA,NA,"8.1/10","87/100","99%",NA,NA,NA,NA
"Best Director",NA,"One Night of Love","07-1935","tt0025601","One Night of Love","nm0006276","Victor Schertzinger",NA,NA,"One Night of Love",1934,"Passed","15 Sep 1934","84 min","Music, Romance","Victor Schertzinger","S.K. Lauren, James Gow, Edmund H. North","Grace Moore, Tullio Carminati, Lyle Talbot","Mary Barrett is an aspiring Opera singer who is taken under the wings of a famous operatic maestro, Guilio Monterverdi. After spending endless working hours together and arguing, their relationship develops into love. But, jealousy a","English, Italian","United States","Won 3 Oscars. 3 wins & 4 nominations total","https://m.media-amazon.com/images/M/MV5BNzk5NDg0NTY4NF5BMl5BanBnXkFtZTgwODQxODgwMzE@._V1_SX300.jpg","N/A","5.7","585","tt0025601","movie",NA,NA,NA,NA,"5.7/10",NA,"71%",NA,NA,NA,NA
"Best Director",NA,"The Thin Man","07-1935","tt0025878","The Thin Man","nm0886754","W.S. Van Dyke",NA,NA,"The Thin Man",1934,"TV-PG","25 May 1934","91 min","Comedy, Mystery","W.S. Van Dyke","Albert Hackett, Frances Goodrich, Dashiell Hammett","William Powell, Myrna Loy, Maureen O'Sullivan","Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.","English","United States","Nominated for 4 Oscars. 3 wins & 4 nominations total","https://m.media-amazon.com/images/M/MV5BYmFlOWMwMjAtMDMyMC00N2JjLTllODUtZjY3YWU3NGRkM2I2L2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","86","8.0","28,800","tt0025878","movie",NA,NA,NA,NA,"8.0/10","86/100","98%",7,2021-07-09,NA,NA
"Best Director","Winner","The Informer","08-1936","tt0026529","The Informer","nm0000406","John Ford",NA,NA,"The Informer",1935,"Approved","24 May 1935","91 min","Crime, Drama","John Ford","Dudley Nichols, Liam O'Flaherty","Victor McLaglen, Heather Angel, Preston Foster","In 1922, an Irish rebel informs on his friend, then feels doom closing in.","English","United States","Won 4 Oscars. 10 wins & 4 nominations total","https://m.media-amazon.com/images/M/MV5BMDM1YjliYzYtOTkzMS00M2NkLThhNjctM2RlM2MxODE4YjJjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","65","7.3","6,299","tt0026529","movie",NA,NA,NA,NA,"7.3/10","65/100","94%",NA,NA,NA,NA
"Best Director",NA,"Mutiny on the Bounty","08-1936","tt0026752","Mutiny on the Bounty","nm0515979","Frank Lloyd",NA,NA,"Mutiny on the Bounty",1935,"Passed","12 Jan 1936","132 min","Adventure, Biography, Drama","Frank Lloyd","Talbot Jennings, Jules Furthman, Carey Wilson","Charles Laughton, Clark Gable, Franchot Tone","First mate Fletcher Christian leads a revolt against his sadistic commander, Captain Bligh, in this classic seafaring adventure, based on the real-life 1789 mutiny.","English, Polynesian","United States","Won 1 Oscar. 3 wins & 7 nominations total","https://m.media-amazon.com/images/M/MV5BNmRhZWU4MTAtNzE0OC00YjIyLTk2MGItMDRjYTc0MTZiNmU1XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg","87","7.7","22,274","tt0026752","movie",NA,NA,NA,NA,"7.7/10","87/100","93%",7,2022-02-23,NA,NA
"Best Director",NA,"The Lives of a Bengal Lancer","08-1936","tt0026643","The Lives of a Bengal Lancer","nm0368871","Henry Hathaway",NA,NA,"The Lives of a Bengal Lancer",1935,"Passed","01 Feb 1935","109 min","Adventure, Drama, War","Henry Hathaway","Waldemar Young, John L. Balderston, Achmed Abdullah","Gary Cooper, Franchot Tone, Richard Cromwell","Three British soldiers on the Northwest Frontier of India struggle against the enemy - and themselves.","English","United States","Won 1 Oscar. 2 wins & 6 nominations total","https://m.media-amazon.com/images/M/MV5BOTMwOTMwY2QtMGVmYS00NjYxLWI5MjQtOTczNTVmOWVlNzczXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","7.1","2,866","tt0026643","movie",NA,NA,NA,NA,"7.1/10",NA,"100%",NA,NA,NA,NA
