"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Prime","Amazon.Type"
"Best Documentary",NA,NA,"14-1942","tt0034372","Warclouds in the Pacific",NA,NA,NA,NA,"Warclouds in the Pacific",1941,"N/A","24 Dec 1941","20 min","Documentary, Short","Stuart Legg","N/A","Lorne Greene, Hirohito, Puyi","Much activity is happening in naval yards on the western shores of the Pacific as tensions rise across the ocean with Nazi Germany's support of the Japanese government and military. As such, westerners in Pacific outposts have headed","English","Canada","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","5.6","45","tt0034372","movie",NA,NA,NA,NA,"5.6/10",NA,NA,NA,NA,NA,NA
"Best Documentary","Winner",NA,"15-1943","tt0034951","Kokoda Front Line!",NA,NA,NA,NA,"Kokoda Front Line!",1942,"N/A","18 Sep 1942","9 min","Documentary, Short, War","N/A","N/A","Peter Bathurst, Damien Parer","Cameraman Damien Parer has just returned from the front in New Guinea, where he's documented Australian troops in action. He explains this to us in a prolog. We then see air drops of supplies, wounded men being carried on stretchers","English","Australia","Won 1 Oscar. 1 win total","https://m.media-amazon.com/images/M/MV5BZmM4NGJjZDctZDUyZS00Y2RhLTgwZWYtOTllNzQwMTk1NTQ3L2ltYWdlXkEyXkFqcGdeQXVyMDM0MzU2NA@@._V1_SX300.jpg","N/A","5.9","233","tt0034951","movie",NA,NA,NA,NA,"5.9/10",NA,NA,NA,NA,"Prime","Short Films"
"Best Documentary","Winner",NA,"15-1943","tt0035085","Moscow Strikes Back",NA,NA,NA,NA,"Moscow Strikes Back",1942,"Approved","01 Oct 1942","55 min","Documentary, War","Ilya Kopalin, Leonid Varlamov","Pyotr Pavlenko, Albert Maltz, Elliot Paul","N. Dubravin, Edward G. Robinson, Joseph Stalin","A number of frontline cameramen shot the footage used in this documentary of the Battle of Moscow, between October 1941 and January 1942,in which a people's war against the German invaders, whose atrocities are shown in graphic detai","Russian","Soviet Union","Won 1 Oscar. 3 wins total","https://m.media-amazon.com/images/M/MV5BNDQ1Yzc2YmQtZTZhYi00Mjk1LWE5NjAtNDUzMjc2ZTljMGRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjMxMjkwMjI@._V1_SX300.jpg","N/A","6.9","221","tt0035085","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA
"Best Documentary","Winner",NA,"15-1943","tt0034498","The Battle of Midway",NA,NA,NA,NA,"The Battle of Midway",1942,"TV-PG","14 Sep 1942","18 min","Documentary, Short, War","John Ford","John Ford, Dudley Nichols, James Kevin McGuinness","Henry Fonda, Jane Darwell, Logan Ramsey","The Japanese attack on Midway in June 1942, filmed as it happened.","English","United States","Won 1 Oscar. 1 win total","https://m.media-amazon.com/images/M/MV5BMTY3Njg3MDUxMl5BMl5BanBnXkFtZTcwMzE4MTU1MQ@@._V1_SX300.jpg","N/A","6.1","2,040","tt0034498","movie",NA,NA,NA,NA,"6.1/10",NA,NA,NA,NA,"Prime","Short Films"
"Best Documentary","Winner",NA,"15-1943","tt0035209","Why We Fight",NA,NA,NA,NA,"Why We Fight",1942,"Not Rated","27 May 1942","52 min","Documentary, War","Frank Capra, Anatole Litvak","Julius J. Epstein, Philip G. Epstein, Robert Heller","Walter Huston, Victor Bulwer-Lytton, Kai-Shek Chiang","The official World War II US Government film statement defining the various enemies of the Allies and why they must be fought.","English, German, Italian, Japanese, Amharic, Russian","United States","Won 1 Oscar. 4 wins total","https://m.media-amazon.com/images/M/MV5BMTY3NTMyMDQ4NF5BMl5BanBnXkFtZTgwMjkzODgwMzE@._V1_SX300.jpg","N/A","7.0","2,172","tt0035209","movie",NA,NA,NA,NA,"7.0/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"15-1943","tt0035321","A Ship Is Born",NA,NA,NA,NA,"A Ship Is Born",1942,"Approved","10 Oct 1942","22 min","Documentary, Short, War","Jean Negulesco","Owen Crump","Knox Manning","This Vitaphone 'Technicolor Special' (production number 8001) portrays the behind-the-scenes story of the building and manning, during World War Two, of the USA supply line to Victory against the Axis powers, the United States Mercha","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYmM0MmRkY2ItZjA3Yy00NGIzLTg3YWEtNGZlMTlmMmFlNjEyXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.6","41","tt0035321","movie",NA,NA,NA,NA,"5.6/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"15-1943","tt0034434","Africa, Prelude to Victory",NA,NA,NA,NA,"Africa, Prelude to Victory",1943,"N/A","27 May 1943","18 min","Documentary, Short","N/A","N/A","N/A","N/A","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMGM3Yzc1ODAtNTFjYy00ODNkLTliOTgtODI1OWIzYTdjODk4XkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.3","9","tt0034434","movie",NA,NA,NA,NA,"5.3/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"15-1943","tt0034608","Combat Report",NA,NA,NA,NA,"Combat Report",1942,"N/A","N/A","9 min","Documentary, Short","N/A","N/A","Walter Huston","Follows the crew of a Mitchell bomber from the 2nd BG as they fight submarines.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYmZiZTA3MDktZTY1Yy00MTliLTk5M2ItNTE1N2Q3ZTg2NWMzXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.5","49","tt0034608","movie",NA,NA,NA,NA,"5.5/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,"Frederic Ullman Jr.","15-1943","tt0034610","Conquer by the Clock","nm0880485","Frederic Ullman Jr.",NA,NA,"Conquer by the Clock",1942,"N/A","18 Dec 1942","10 min","Documentary, Short, War","Slavko Vorkapich","Philip H. Reisman Jr.","N/A","Time wasted is time given to the enemy...","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTUwMTA1MzY0MF5BMl5BanBnXkFtZTcwODgxNzYyMQ@@._V1_SX300.jpg","N/A","5.6","48","tt0034610","movie",NA,NA,NA,NA,"5.6/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"15-1943","tt0034843","Henry Browne, Farmer",NA,NA,NA,NA,"Henry Browne, Farmer",1942,"N/A","15 Nov 1942","9 min","Documentary, Short","Roger Barlow","N/A","Canada Lee","Documentary short film dramatizing the efforts of a black farmer and his family to help the American war effort by increasing production.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZjgzOWFjOGEtYTUxYy00YmU0LWIyMTgtOTUyMGJjZjNkMzcxXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.0","56","tt0034843","movie",NA,NA,NA,NA,"5.0/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"15-1943","tt0034851","High Over the Borders",NA,NA,NA,NA,"High Over the Borders",1942,"N/A","N/A","23 min","Documentary, Short","Irving Jacoby","Irving Jacoby","Phil Brown","An Oscar-nominated film describing migration among birds in North America emphasizing the international character of many of the flights of different species.","N/A","Canada","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.1","42","tt0034851","movie",NA,NA,NA,NA,"7.1/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"15-1943","tt0034852","High Stakes in the East",NA,NA,NA,NA,"High Stakes in the East",1942,"N/A","N/A","10 min","Documentary, Short","John Fernhout","N/A","N/A","In the aftermath of the Allied defeat in the battle for Java, after which the island fell into Japanese hands, this propaganda film made for American audiences shows what has been lost.","English","Netherlands","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNzE3OWNiZDAtYTljYS00YTMzLTkzMzEtMWM3MmQ0NzFhNzRkXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.4","12","tt0034852","movie",NA,NA,NA,NA,"5.4/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"15-1943","tt0034897","Inside Fighting China",NA,NA,NA,NA,"Inside Fighting China",1942,"N/A","N/A","22 min","Documentary, Short, War","N/A","Stuart Legg","Kai-Shek Chiang, Lorne Greene, Hirohito","An Oscar-nominated war-time propaganda film on the Japanese invasion of Manchuria. It followed the government of Chiang Kai-shek as their society changed and they fight back against the now-common enemy (to the US), Japan.","English","Canada","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMDg1MzMyZGUtNjRjYi00MTdlLTlkZjItMTY3OWRiNmY4YWYwXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.7","43","tt0034897","movie",NA,NA,NA,NA,"5.7/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"15-1943","tt0034906","It's Everybody's War",NA,NA,NA,NA,"It's Everybody's War",1942,"N/A","06 Nov 1942","18 min","Short, History, War","Will Price","Will Price","Henry Fonda, Mae Marsh","Wartime documentary propagandizing for greater participation in the U.S. war effort during the Second World War.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMmU2NmM2NmUtNDVmMS00NGUyLWJmMjEtZTg0OWJiZDhmODY3XkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.8","70","tt0034906","movie",NA,NA,NA,NA,"5.8/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"15-1943","tt0034978","Listen to Britain",NA,NA,NA,NA,"Listen to Britain",1942,"Not Rated","01 Feb 1942","20 min","Documentary, Short","Humphrey Jennings, Stewart McAllister","Humphrey Jennings, Stewart McAllister","Leonard Brockington, Joseph Macleod, Bud Flanagan","A depiction of life in wartime England during the Second World War. Director Humphrey Jennings visits many aspects of civilian life and of the turmoil and privation caused by the war, all without narration.","English, German","United Kingdom","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMjA3NTY1ODk2MF5BMl5BanBnXkFtZTgwMjUzODgwMzE@._V1_SX300.jpg","N/A","6.6","1,693","tt0034978","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"15-1943","tt0034979","Little Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Best Documentary",NA,"Victor Stoloff, Edgar Loew","15-1943","tt0034981","Little Isles of Freedom","nm0831580","Victor Stoloff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Best Documentary",NA,"Victor Stoloff, Edgar Loew","15-1943","tt0034981","Little Isles of Freedom","nm0517335","Edgar Loew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"15-1943","tt0035091","Mister Gardenia Jones",NA,NA,NA,NA,"Mister Gardenia Jones",1942,"N/A","29 May 1942","13 min","Documentary, Short","George B. Seitz","Carey Wilson","Ronald Reagan, Laraine Day, Charles Winninger","Documentary short film depicting the work of the United Service Organizations (USO) in providing recreational and morale-boosting services for American troops.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNzQ5ZWQ4YmUtMDg2Zi00ODg3LWEzMzEtMmVjZDY1N2M1MzI2XkEyXkFqcGdeQXVyMzUwMDU2MjM@._V1_SX300.jpg","N/A","4.7","87","tt0035091","movie",NA,NA,NA,NA,"4.7/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"15-1943","tt0035088","Mr. Blabbermouth!",NA,NA,NA,NA,"Mr. Blabbermouth!",1942,"Approved","08 Aug 1942","19 min","Short","Basil Wrangell","Manchester Boddy, Walter Selden","John Nesbitt, Kai-Shek Chiang, Adolf Hitler","Following Japan's attack on Pearl Harbor, America was rife with rumors about the size of Japan's armed forces and how well-equipped they were to wage war against the U.S. Using animation, the first part of this film dispels these rum","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNDg5Nzc5ZDktYTZiNC00ZGMyLWE3NmMtMWRiY2EyZGJkNTc3XkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.7","283","tt0035088","movie",NA,NA,NA,NA,"5.7/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,"William C. Thomas","15-1943","tt0035536","Paramount Victory Short No. T2-2: We Refuse to Die","nm0859651","William C. Thomas",NA,NA,"Paramount Victory Short No. T2-2: We Refuse to Die",1942,"N/A","22 Oct 1942","14 min","Documentary, Short, War","William H. Pine","Maxwell Shane (screenplay)","N/A","N/A","English","USA","N/A","N/A","N/A","8.2","5","tt0035536","movie",NA,NA,NA,NA,"8.2/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"15-1943","tt0035210","Paramount Victory Short No. T2-3: The Price of Victory",NA,NA,NA,NA,"Paramount Victory Short No. T2-3: The Price of Victory",1942,"N/A","03 Dec 1942","14 min","Documentary, Short, War","William H. Pine","Maxwell Shane","Henry Wallace","Vice-President narrates a patriotic, propaganda short designed to boost morale in the the early days of World War II.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","5.1","32","tt0035210","movie",NA,NA,NA,NA,"5.1/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,"Walt Disney","15-1943","tt0034806","The Grain That Built a Hemisphere","nm0000370","Walt Disney",NA,NA,"The Grain That Built a Hemisphere",1943,"N/A","04 Jan 1943","11 min","Documentary, Animation, Short","Jack Cutting, David Hand, Bill Justice","N/A","N/A","This animated documentary outlines the history and importance of corn in North America.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTc3MTM0ODA5OF5BMl5BanBnXkFtZTcwMzMxMDkxMQ@@._V1_SX300.jpg","N/A","6.0","208","tt0034806","movie",NA,NA,NA,NA,"6.0/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,"Walt Disney","15-1943","tt0035120","The New Spirit","nm0000370","Walt Disney",NA,NA,"The New Spirit",1942,"Approved","23 Jan 1942","7 min","Documentary, Animation, Short","Wilfred Jackson, Ben Sharpsteen","Joe Grant, Dick Huemer","Cliff Edwards, Clarence Nash, Fred Shields","Animated documentary promoting timely filing and payment of Federal income taxes, demonstrated by Donald Duck's difficulties with his tax return.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMzk0ZGEwNjAtYzQyMS00ODA3LTg1ZGUtNWRmZTc2MDgyNzVkXkEyXkFqcGdeQXVyNzQzMjczNzE@._V1_SX300.jpg","N/A","5.7","375","tt0035120","movie",NA,NA,NA,NA,"5.7/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"15-1943","tt0035554","The White Eagle",NA,NA,NA,NA,"The White Eagle",1942,"N/A","N/A","27 min","Documentary, Short","Eugeniusz Cekalski","Val Gielgud","Eugeniusz Cekalski, Zbigniew Grabowski, Leslie Howard","An Oscar-nominated British documentary about the Polish people who escaped Poland and were living in England during World War II, both civilians and soldiers.","Polish, English","United Kingdom, Poland","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","5.4","32","tt0035554","movie",NA,NA,NA,NA,"5.4/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"15-1943","tt0035478","Twenty-One Miles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"15-1943","tt0035565","Winning Your Wings",NA,NA,NA,NA,"Winning Your Wings",1942,"Approved","28 May 1942","18 min","Short, History, War","John Huston, Owen Crump","Owen Crump","James Stewart, Jean Ames, Leah Baird","Inspirational short film designed to encourage recruits for the American Army Air Forces.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZThlMzUwZDAtY2YwMi00NmJjLWJlYWYtNzZlM2I0OTA0ZTEyXkEyXkFqcGdeQXVyMjM0MzAyNTU@._V1_SX300.jpg","N/A","6.3","325","tt0035565","movie",NA,NA,NA,NA,"6.3/10",NA,NA,6,2022-02-24,NA,NA
"Best Documentary, Features","Winner",NA,"16-1944","tt0035796","Desert Victory",NA,NA,NA,NA,"Desert Victory",1943,"N/A","13 Apr 1943","62 min","Documentary, War","Roy Boulting, David MacDonald","J.L. Hodson","Harold Alexander, Winston Churchill, Adolf Hitler","The Allied campaign to drive Germany and Italy from North Africa is analysed, with the major portion of the film examining the battles at El Alamein, including a re-enactment.","English, German","United Kingdom","Won 1 Oscar. 2 wins total","https://m.media-amazon.com/images/M/MV5BMjA4MTgzNjg0OF5BMl5BanBnXkFtZTYwNzU4NDg5._V1_SX300.jpg","N/A","6.5","318","tt0035796","movie",NA,NA,NA,NA,"6.5/10",NA,NA,NA,NA,NA,NA
"Best Documentary, Features",NA,NA,"16-1944","tt0035662","Baptism of Fire",NA,NA,NA,NA,"Baptism of Fire",1943,"N/A","N/A","36 min","Short, Drama, War","U.S. Army Signal Corps","N/A","Elisha Cook Jr., Walter Sande, Peter Whitney","Training film for the U.S. Army men preparing for their initial entry into the war against the Nazis. Teaching the techniques of enemy identification, combat and hand to hand fighting.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNjE3MWE3NTEtYWE0NS00NGY4LWIzNjMtZDdkMGYxM2NkMjFlXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.7","44","tt0035662","movie",NA,NA,NA,NA,"5.7/10",NA,NA,NA,NA,NA,NA
"Best Documentary, Features",NA,NA,"16-1944","tt0036301","Report from the Aleutians",NA,NA,NA,NA,"Report from the Aleutians",1943,"Not Rated","30 Jul 1943","47 min","Documentary, History, War","John Huston","John Huston","John Huston, Walter Huston, Milton Ashkin","Filmmaker John Huston narrates this Oscar-nominated World War II-era film about life among the U.S. soldiers protecting Alaska's Aleutian Islands.","English","United States","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BNTlmNjkzNmQtYWM5ZS00ZmM0LTlmMzUtZDZiN2I5NmM0OGY2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg","N/A","6.4","627","tt0036301","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA
"Best Documentary, Features",NA,NA,"16-1944","tt0036629","The Battle of Russia",NA,NA,NA,NA,"The Battle of Russia",1943,"Not Rated","11 Nov 1943","83 min","Documentary, History, War","Frank Capra, Anatole Litvak","Julius J. Epstein, Philip G. Epstein, Rober Heller","Anthony Veiller, Ion Antonescu, Nikolay Cherkasov","Documentary revealing the nature and process of the fight between the Soviet Union and Germany in the Second World War.","English","United States","Nominated for 1 Oscar. 3 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTcwMDY5NzU1OV5BMl5BanBnXkFtZTcwOTkyNTgxMQ@@._V1_SX300.jpg","N/A","7.1","1,441","tt0036629","movie",NA,NA,NA,NA,"7.1/10",NA,NA,NA,NA,NA,NA
"Best Documentary, Features",NA,NA,"16-1944","tt0036512","War Department Report",NA,NA,NA,NA,"War Department Report",1943,"N/A","07 Dec 1943","47 min","Documentary","Oliver Lundquist","David Zablodowsky","Walter Huston","This short is the first official War Department Report by the Office of Strategic Services. Topics include: Gran Sasso aftermath; Japan's conquered territory; Germany's troops and provisions; US Military supply logistics; battle stra","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYWJhMzUxYzMtNTQ4Ni00Zjk1LTg3YzItNGZmNGI1OTlhZjQ3XkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","7.1","29","tt0036512","movie",NA,NA,NA,NA,"7.1/10",NA,NA,NA,NA,NA,NA
"Best Documentary, Features","Winner",NA,"17-1945","tt0036823","The Fighting Lady",NA,NA,NA,NA,"The Fighting Lady",1944,"Passed","15 Aug 1945","61 min","Documentary, History, War","Edward Steichen, William Wyler","John S. Martin, Eugene Ling","Robert Taylor, Charles Boyer, Joseph J. Clark","An indepth look at aircraft carrier combat operations during Wolrd War II. Real combat footage. Very strong and compelling.","English","United States","Won 1 Oscar. 3 wins total","https://m.media-amazon.com/images/M/MV5BNmFmOGY1NDYtZDFkNS00MDRkLWE5OWQtOTU0Y2RjYjJlNDUzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","N/A","7.2","461","tt0036823","movie",NA,NA,NA,NA,"7.2/10",NA,NA,NA,NA,NA,NA
"Best Documentary, Features",NA,NA,"17-1945","tt0037215","Resisting Enemy Interrogation",NA,NA,NA,NA,"Resisting Enemy Interrogation",1944,"Not Rated","01 Jan 1945","66 min","Drama, War","Bernard Vorhaus","Harold Medford","Louis Adlon, Rand Brooks, Frederic Brunn","A downed American bomber crew quickly falls prey to the clever interrogation techniques of the Germans in this dramatic training film.","English, German","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNmQ3Yzg4YWYtZmJlZC00MWI0LTliN2MtMTIyMjI2MTk2YTM3XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg","N/A","6.8","244","tt0037215","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA
