"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Prime","Amazon.Type"
"Best Animated Feature","Winner","Andrew Stanton","76-2004","tt0266543","Finding Nemo","nm0004056","Andrew Stanton",NA,NA,"Finding Nemo",2003,"G","30 May 2003","100 min","Animation, Adventure, Comedy","Andrew Stanton, Lee Unkrich","Andrew Stanton, Bob Peterson, David Reynolds","Albert Brooks, Ellen DeGeneres, Alexander Gould","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","English","United States, Australia","Won 1 Oscar. 48 wins & 63 nominations total","https://m.media-amazon.com/images/M/MV5BZTAzNWZlNmUtZDEzYi00ZjA5LWIwYjEtZGM1NWE1MjE4YWRhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","90","8.1","1,000,980","tt0266543","movie",NA,NA,NA,NA,"8.1/10","90/100","99%",8,2021-07-09,NA,NA
"Best Animated Feature",NA,"Aaron Blaise, Robert Walker","76-2004","tt0328880","Brother Bear","nm0086431","Aaron Blaise",NA,NA,"Brother Bear",2003,"G","01 Nov 2003","85 min","Animation, Adventure, Comedy","Aaron Blaise, Robert Walker","Tab Murphy, Lorne Cameron, David Hoselton","Joaquin Phoenix, Jeremy Suarez, Rick Moranis","When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.","English, Inuktitut, Croatian, Serbian","United States","Nominated for 1 Oscar. 2 wins & 22 nominations total","https://m.media-amazon.com/images/M/MV5BMTIyNTAyNDYxNF5BMl5BanBnXkFtZTYwNjYwMjg2._V1_SX300.jpg","48","6.8","105,219","tt0328880","movie",NA,NA,NA,NA,"6.8/10","48/100","37%",NA,NA,NA,NA
"Best Animated Feature",NA,"Aaron Blaise, Robert Walker","76-2004","tt0328880","Brother Bear","nm1074107","Robert Walker",NA,NA,"Brother Bear",2003,"G","01 Nov 2003","85 min","Animation, Adventure, Comedy","Aaron Blaise, Robert Walker","Tab Murphy, Lorne Cameron, David Hoselton","Joaquin Phoenix, Jeremy Suarez, Rick Moranis","When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.","English, Inuktitut, Croatian, Serbian","United States","Nominated for 1 Oscar. 2 wins & 22 nominations total","https://m.media-amazon.com/images/M/MV5BMTIyNTAyNDYxNF5BMl5BanBnXkFtZTYwNjYwMjg2._V1_SX300.jpg","48","6.8","105,219","tt0328880","movie",NA,NA,NA,NA,"6.8/10","48/100","37%",NA,NA,NA,NA
"Best Animated Feature",NA,"Sylvain Chomet","76-2004","tt0286244","The Triplets of Belleville","nm0158984","Sylvain Chomet",NA,NA,"The Triplets of Belleville",2003,"PG-13","13 Feb 2004","80 min","Animation, Comedy, Drama","Sylvain Chomet","Sylvain Chomet","Michèle Caucheteux, Jean-Claude Donda, Michel Robin","When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.","French, Portuguese, English","France, Belgium, Canada, United Kingdom, Latvia, United States","Nominated for 2 Oscars. 20 wins & 41 nominations total","https://m.media-amazon.com/images/M/MV5BNGRiOTIwNTAtYWM2Yy00Yzc4LTkyZjEtNTM3NTIyZTNhMzg1XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_SX300.jpg","91","7.8","53,716","tt0286244","movie",NA,NA,NA,NA,"7.8/10","91/100",NA,NA,NA,NA,NA
"Best Animated Feature Film of the Year","Winner","Brad Bird","77-2005","tt0317705","The Incredibles","nm0083348","Brad Bird",NA,NA,"The Incredibles",2004,"PG","05 Nov 2004","115 min","Animation, Action, Adventure","Brad Bird","Brad Bird","Craig T. Nelson, Samuel L. Jackson, Holly Hunter","A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.","English, French","United States","Won 2 Oscars. 67 wins & 56 nominations total","https://m.media-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_SX300.jpg","90","8.0","693,460","tt0317705","movie",NA,NA,NA,NA,"8.0/10","90/100",NA,8,2021-07-09,NA,NA
"Best Animated Feature Film of the Year",NA,"Bill Damaschke","77-2005","tt0307453","Shark Tale","nm0198632","Bill Damaschke",NA,NA,"Shark Tale",2004,"PG","01 Oct 2004","90 min","Animation, Adventure, Comedy","Bibo Bergeron, Vicky Jenson, Rob Letterman","Michael J. Wilson, Rob Letterman, Scott Aukerman","Will Smith, Robert De Niro, Renée Zellweger","When a son of a gangster shark boss is accidentally killed while on the hunt, his would-be prey and his vegetarian brother decide to use the incident to their own advantage.","English","United States","Nominated for 1 Oscar. 3 wins & 16 nominations total","https://m.media-amazon.com/images/M/MV5BMTMxMjY0NzE2M15BMl5BanBnXkFtZTcwNTc3ODcyMw@@._V1_SX300.jpg","48","6.0","177,157","tt0307453","movie",NA,NA,NA,NA,"6.0/10","48/100","36%",NA,NA,NA,NA
"Best Animated Feature Film of the Year",NA,"Andrew Adamson","77-2005","tt0298148","Shrek 2","nm0011470","Andrew Adamson",NA,NA,"Shrek 2",2004,"PG","19 May 2004","93 min","Animation, Adventure, Comedy","Andrew Adamson, Kelly Asbury, Conrad Vernon","William Steig, Andrew Adamson, Joe Stillman","Mike Myers, Eddie Murphy, Cameron Diaz","Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.","English","United States","Nominated for 2 Oscars. 18 wins & 52 nominations total","https://m.media-amazon.com/images/M/MV5BMDJhMGRjN2QtNDUxYy00NGM3LThjNGQtMmZiZTRhNjM4YzUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","75","7.2","444,142","tt0298148","movie",NA,NA,NA,NA,"7.2/10","75/100","89%",6,2021-07-14,NA,NA
"Best Animated Feature Film of the Year","Winner","Steve Box, Nick Park","78-2006","tt0312004","Wallace & Gromit: The Curse of the Were-Rabbit","nm0101508","Steve Box",NA,NA,"Wallace & Gromit: The Curse of the Were-Rabbit",2005,"G","07 Oct 2005","85 min","Animation, Adventure, Comedy","Steve Box, Nick Park","Steve Box, Nick Park, Mark Burton","Peter Sallis, Helena Bonham Carter, Ralph Fiennes","Wallace and his loyal dog, Gromit, set out to discover the mystery behind the garden sabotage that plagues their village and threatens the annual giant vegetable growing contest.","English","United Kingdom, United States","Won 1 Oscar. 40 wins & 25 nominations total","https://m.media-amazon.com/images/M/MV5BMTk1NzIwNTM1NV5BMl5BanBnXkFtZTcwMDA1NzkyMw@@._V1_SX300.jpg","87","7.4","131,824","tt0312004","movie",NA,NA,NA,NA,"7.4/10","87/100","95%",NA,NA,NA,NA
"Best Animated Feature Film of the Year","Winner","Steve Box, Nick Park","78-2006","tt0312004","Wallace & Gromit: The Curse of the Were-Rabbit","nm0661910","Nick Park",NA,NA,"Wallace & Gromit: The Curse of the Were-Rabbit",2005,"G","07 Oct 2005","85 min","Animation, Adventure, Comedy","Steve Box, Nick Park","Steve Box, Nick Park, Mark Burton","Peter Sallis, Helena Bonham Carter, Ralph Fiennes","Wallace and his loyal dog, Gromit, set out to discover the mystery behind the garden sabotage that plagues their village and threatens the annual giant vegetable growing contest.","English","United Kingdom, United States","Won 1 Oscar. 40 wins & 25 nominations total","https://m.media-amazon.com/images/M/MV5BMTk1NzIwNTM1NV5BMl5BanBnXkFtZTcwMDA1NzkyMw@@._V1_SX300.jpg","87","7.4","131,824","tt0312004","movie",NA,NA,NA,NA,"7.4/10","87/100","95%",NA,NA,NA,NA
"Best Animated Feature Film of the Year",NA,"Tim Burton, Mike Johnson","78-2006","tt0121164","Corpse Bride","nm0000318","Tim Burton",NA,NA,"Corpse Bride",2005,"PG","23 Sep 2005","77 min","Animation, Drama, Family","Tim Burton, Mike Johnson","Tim Burton, Carlos Grangel, John August","Johnny Depp, Helena Bonham Carter, Emily Watson","When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.","English","United States, United Kingdom","Nominated for 1 Oscar. 9 wins & 30 nominations total","https://m.media-amazon.com/images/M/MV5BMTk1MTY1NjU4MF5BMl5BanBnXkFtZTcwNjIzMTEzMw@@._V1_SX300.jpg","83","7.3","260,856","tt0121164","movie",NA,NA,NA,NA,"7.3/10","83/100","84%",7,2021-07-14,NA,NA
"Best Animated Feature Film of the Year",NA,"Tim Burton, Mike Johnson","78-2006","tt0121164","Corpse Bride","nm0425843","Mike Johnson",NA,NA,"Corpse Bride",2005,"PG","23 Sep 2005","77 min","Animation, Drama, Family","Tim Burton, Mike Johnson","Tim Burton, Carlos Grangel, John August","Johnny Depp, Helena Bonham Carter, Emily Watson","When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.","English","United States, United Kingdom","Nominated for 1 Oscar. 9 wins & 30 nominations total","https://m.media-amazon.com/images/M/MV5BMTk1MTY1NjU4MF5BMl5BanBnXkFtZTcwNjIzMTEzMw@@._V1_SX300.jpg","83","7.3","260,856","tt0121164","movie",NA,NA,NA,NA,"7.3/10","83/100","84%",7,2021-07-14,NA,NA
"Best Animated Feature Film of the Year",NA,"Hayao Miyazaki","78-2006","tt0347149","Howl's Moving Castle","nm0594503","Hayao Miyazaki",NA,NA,"Howl's Moving Castle",2004,"PG","17 Jun 2005","119 min","Animation, Adventure, Family","Hayao Miyazaki","Hayao Miyazaki, Diana Wynne Jones","Chieko Baishô, Takuya Kimura, Tatsuya Gashûin","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Japanese","Japan","Nominated for 1 Oscar. 14 wins & 20 nominations total","https://m.media-amazon.com/images/M/MV5BNmM4YTFmMmItMGE3Yy00MmRkLTlmZGEtMzZlOTQzYjk3MzA2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","80","8.2","369,090","tt0347149","movie",NA,NA,NA,NA,"8.2/10","80/100","87%",NA,NA,NA,NA
"Best Animated Feature Film of the Year","Winner","George Miller","79-2007","tt0366548","Happy Feet","nm0004306","George Miller",NA,NA,"Happy Feet",2006,"PG","17 Nov 2006","108 min","Animation, Adventure, Comedy","George Miller, Warren Coleman, Judy Morris","George Miller, John Collee, Judy Morris","Elijah Wood, Brittany Murphy, Hugh Jackman","Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!","English","United States, Australia","Won 1 Oscar. 20 wins & 26 nominations total","https://m.media-amazon.com/images/M/MV5BMTQyNTkxMjUwMV5BMl5BanBnXkFtZTcwMDQ2NTU0MQ@@._V1_SX300.jpg","77","6.4","180,079","tt0366548","movie",NA,NA,NA,NA,"6.4/10","77/100","76%",5,2021-07-19,NA,NA
"Best Animated Feature Film of the Year",NA,"John Lasseter","79-2007","tt0317219","Cars","nm0005124","John Lasseter",NA,NA,"Cars",2006,"G","09 Jun 2006","117 min","Animation, Adventure, Comedy","John Lasseter, Joe Ranft","John Lasseter, Joe Ranft, Jorgen Klubien","Owen Wilson, Bonnie Hunt, Paul Newman","A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.","English, Italian, Japanese, Yiddish","United States","Nominated for 2 Oscars. 28 wins & 34 nominations total","https://m.media-amazon.com/images/M/MV5BMTg5NzY0MzA2MV5BMl5BanBnXkFtZTYwNDc3NTc2._V1_SX300.jpg","73","7.1","396,662","tt0317219","movie",NA,NA,NA,NA,"7.1/10","73/100","74%",4,2021-07-14,NA,NA
"Best Animated Feature Film of the Year",NA,"Gil Kenan","79-2007","tt0385880","Monster House","nm1481493","Gil Kenan",NA,NA,"Monster House",2006,"PG","21 Jul 2006","91 min","Animation, Comedy, Family","Gil Kenan","Dan Harmon, Rob Schrab, Pamela Pettler","Mitchel Musso, Sam Lerner, Spencer Locke","Three teens discover that their neighbor's house is really a living, breathing, scary monster.","English","United States","Nominated for 1 Oscar. 4 wins & 23 nominations total","https://m.media-amazon.com/images/M/MV5BMTIzNjE1NDg1N15BMl5BanBnXkFtZTcwOTg2NTMzMQ@@._V1_SX300.jpg","68","6.6","112,435","tt0385880","movie",NA,NA,NA,NA,"6.6/10","68/100","75%",NA,NA,NA,NA
"Best Animated Feature Film of the Year","Winner","Brad Bird","80-2008","tt0382932","Ratatouille","nm0083348","Brad Bird",NA,NA,"Ratatouille",2007,"G","29 Jun 2007","111 min","Animation, Adventure, Comedy","Brad Bird, Jan Pinkava","Brad Bird, Jan Pinkava, Jim Capobianco","Brad Garrett, Lou Romano, Patton Oswalt","A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.","English, French","United States","Won 1 Oscar. 67 wins & 42 nominations total","https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_SX300.jpg","96","8.0","683,627","tt0382932","movie",NA,NA,NA,NA,"8.0/10","96/100","96%",8,2021-07-09,NA,NA
"Best Animated Feature Film of the Year",NA,"Marjane Satrapi, Vincent Paronnaud","80-2008","tt0808417","Persepolis","nm2277869","Marjane Satrapi",NA,NA,"Persepolis",2007,"PG-13","22 Feb 2008","96 min","Animation, Biography, Drama","Vincent Paronnaud, Marjane Satrapi","Marjane Satrapi, Vincent Paronnaud","Chiara Mastroianni, Catherine Deneuve, Gena Rowlands","A precocious and outspoken Iranian girl grows up during the Islamic Revolution.","French, English, Persian, German","France, United States","Nominated for 1 Oscar. 30 wins & 59 nominations total","https://m.media-amazon.com/images/M/MV5BMGRkZThmYzEtYjQxZC00OWEzLThjYjAtYzFkMjY0NGZkZWI4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","90","8.0","92,732","tt0808417","movie",NA,NA,NA,NA,"8.0/10","90/100","96%",NA,NA,NA,NA
"Best Animated Feature Film of the Year",NA,"Marjane Satrapi, Vincent Paronnaud","80-2008","tt0808417","Persepolis","nm1749112","Vincent Paronnaud",NA,NA,"Persepolis",2007,"PG-13","22 Feb 2008","96 min","Animation, Biography, Drama","Vincent Paronnaud, Marjane Satrapi","Marjane Satrapi, Vincent Paronnaud","Chiara Mastroianni, Catherine Deneuve, Gena Rowlands","A precocious and outspoken Iranian girl grows up during the Islamic Revolution.","French, English, Persian, German","France, United States","Nominated for 1 Oscar. 30 wins & 59 nominations total","https://m.media-amazon.com/images/M/MV5BMGRkZThmYzEtYjQxZC00OWEzLThjYjAtYzFkMjY0NGZkZWI4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","90","8.0","92,732","tt0808417","movie",NA,NA,NA,NA,"8.0/10","90/100","96%",NA,NA,NA,NA
"Best Animated Feature Film of the Year",NA,"Ash Brannon, Chris Buck","80-2008","tt0423294","Surf's Up","nm0105169","Ash Brannon",NA,NA,"Surf's Up",2007,"PG","08 Jun 2007","85 min","Animation, Adventure, Comedy","Ash Brannon, Chris Buck","Don Rhymer, Ash Brannon, Chris Buck","Shia LaBeouf, Zooey Deschanel, Jon Heder","A behind-the-scenes look at the annual Penguin World Surfing Championship, and its newest participant, up-and-comer Cody Maverick.","English","United States","Nominated for 1 Oscar. 2 wins & 18 nominations total","https://m.media-amazon.com/images/M/MV5BMjE4NDE3NzcwM15BMl5BanBnXkFtZTcwMTI0ODYzMw@@._V1_SX300.jpg","64","6.7","76,013","tt0423294","movie",NA,NA,NA,NA,"6.7/10","64/100","79%",NA,NA,NA,NA
"Best Animated Feature Film of the Year",NA,"Ash Brannon, Chris Buck","80-2008","tt0423294","Surf's Up","nm0118333","Chris Buck",NA,NA,"Surf's Up",2007,"PG","08 Jun 2007","85 min","Animation, Adventure, Comedy","Ash Brannon, Chris Buck","Don Rhymer, Ash Brannon, Chris Buck","Shia LaBeouf, Zooey Deschanel, Jon Heder","A behind-the-scenes look at the annual Penguin World Surfing Championship, and its newest participant, up-and-comer Cody Maverick.","English","United States","Nominated for 1 Oscar. 2 wins & 18 nominations total","https://m.media-amazon.com/images/M/MV5BMjE4NDE3NzcwM15BMl5BanBnXkFtZTcwMTI0ODYzMw@@._V1_SX300.jpg","64","6.7","76,013","tt0423294","movie",NA,NA,NA,NA,"6.7/10","64/100","79%",NA,NA,NA,NA
"Best Animated Feature Film of the Year","Winner","Andrew Stanton","81-2009","tt0910970","WALLÂ·E","nm0004056","Andrew Stanton",NA,NA,"WALL·E",2008,"G","27 Jun 2008","98 min","Animation, Adventure, Family","Andrew Stanton","Andrew Stanton, Pete Docter, Jim Reardon","Ben Burtt, Elissa Knight, Jeff Garlin","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","English, Hindi","United States","Won 1 Oscar. 94 wins & 95 nominations total","https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_SX300.jpg","95","8.4","1,064,497","tt0910970","movie",NA,NA,NA,NA,"8.4/10","95/100","95%",9,2021-07-09,NA,NA
"Best Animated Feature Film of the Year",NA,"Chris Williams, Byron Howard","81-2009","tt0397892","Bolt","nm0930261","Chris Williams",NA,NA,"Bolt",2008,"PG","21 Nov 2008","96 min","Animation, Adventure, Comedy","Byron Howard, Chris Williams","Dan Fogelman, Chris Williams","John Travolta, Miley Cyrus, Susie Essman","The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.","English","United States","Nominated for 1 Oscar. 1 win & 32 nominations total","https://m.media-amazon.com/images/M/MV5BNDQyNDE5NjQ1N15BMl5BanBnXkFtZTcwMDExMTAwMg@@._V1_SX300.jpg","67","6.8","202,618","tt0397892","movie",NA,NA,NA,NA,"6.8/10","67/100","89%",NA,NA,NA,NA
"Best Animated Feature Film of the Year",NA,"Chris Williams, Byron Howard","81-2009","tt0397892","Bolt","nm0397174","Byron Howard",NA,NA,"Bolt",2008,"PG","21 Nov 2008","96 min","Animation, Adventure, Comedy","Byron Howard, Chris Williams","Dan Fogelman, Chris Williams","John Travolta, Miley Cyrus, Susie Essman","The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.","English","United States","Nominated for 1 Oscar. 1 win & 32 nominations total","https://m.media-amazon.com/images/M/MV5BNDQyNDE5NjQ1N15BMl5BanBnXkFtZTcwMDExMTAwMg@@._V1_SX300.jpg","67","6.8","202,618","tt0397892","movie",NA,NA,NA,NA,"6.8/10","67/100","89%",NA,NA,NA,NA
